Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
08/30/1869	(?)	08/30/1869	(?)	12 deg 11' S	113 deg 48' E	(?)	Jan Lels	Naar aanleiding van het door den Heer N. van Wyck Jurriaanse medegedeelde over de waterverkleuring bij Socotra, laat ik volgen een extract uit mijn dagboek, gehouden op eene reis met een zeilschip naar Soerabaya. 30 Aug. 1869. Heden 12 uur waren wij op 12 gr 11' Z.B. en 113 gr 48' O.L. Wij maakten op de achtermiddag en platvoetwachten naar gissing totaal 14 mijl en bevonden ons des avonds 7 uur op 11 gr 20' Z. Br., daar wij steeds N. t. O. hadden gestuurd. Juist waren wij gereed met schasten, toen de kapitein, die reeds aan dek was, door de kerkkap waarschuwde, dat het witte water vooruit zichtbaar was. Ik had over dit verschijnsel door den kapitein en stuuman dikwijls hooren spreken, doch zij zelven hadden het zoo zelden gezien, dat ik niet had durven hopen, het juist op deze reis waar te nemen. Aan dek gekomen zag ik, dat het water verkleurd was, even alsof het met melk vermenge ware. Langzamerhand werd het witter, totdat het na verloop van tiem minuten juist was, alsof wij door melk voeren, terwijl het schuim op de koppen der golven niet meer te onderscheiden was. De lucht was betrokken en scheen, in tegenstelling van het onmetelijke melkwiite vlak der ons omringende zee, nog dubbel zoo donker. Aan dek was het licht en kon men zonder moeite lezen. Ik liet met de boegpomp een puts met water vullen en ofschoon dit niet zoo wit van kleur leek als de zee, bemerkte ik toch dat het krioelde van kleine lichtende lichaampjes, die zich snel bewogen. Vermoedende, dat doot het pompen vele dier lichaampjes zich aan den binnenwand van zuigbuis en pomp hadden vastgehect, wilde ik op het achterdek een puts water opslaan, toen ons van het voorschip werd toegeroepen om haast te maken, daar men op een afstand duidelijk de scheiding van het witte water kon zien. Voor wij dan ook den tijd hadden het water op te slaan, waren wij de scheiding gepasseerd en vertoonde de zee zich aanmerkelijk donkerder van kleur. In het water dat toen nog werd opgeslagen, bevonden zich nog duidenden lichtgevende voorweprjes. Achteruit ziende, deed zich de scheiding als een recht elijn van het Westen naar het Oosten voor. Het schip liep 8 mijl en daar wij +/- een half uur lang door het witte water waren gezeild, moet dit ter plaatse ongeveer 4 Eng. mijl breed zijn geweest.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	25
09/03/1869	(?)	09/03/1869	(?)	9 deg 29' S	114 deg 32' E	Maria Elisabeth	E. F. Bonjer	Zeilden heden nacht, omtrent 7 mijlen verheid, door water, zot wit als melk, zoodat wij het schuim er somtijds niet op konden zien.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	25
08/21/1871	(?)	08/22/1871	(?)	10 deg 42' S	105 deg 48' E	Medea	J. Ankringa	bij Christmas eiland. (Ind. Oceaan). Liepen heden ten 11 uur, na 't passeeren van chr. eiland, in melkwit gekleurd zeewater; noch van het schuim dat het schip met 9 mijls vaart maakte, noch van het kielwater was iets te bespeuren; ten half een verdween het plotseling, juist als of het een mistlucht was die door de stijve er somtijds niet op konden zine.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	26
08/29/1872	(?)	08/29/1872	(?)	36 deg 50' N	8 deg 34' W	Conrad	Graadt von Roggen	Sterk vurend water met groote wiite plekken, sommige van 100 meter middellijn. De temp. van het zeewater is 2 gerezen.	Tim Wyatt, Unpublished Notes/Paper	Portugal	(?)	1	N/A	27
07/13/1874	(?)	07/14/1874	(?)	12 deg 42' N	54 deg 53' E	Princes Amalia	E. W. Fabritius	bij het eiland Socotra, Even voorbij Socotra zagen wij de zee langzamerhand eene witte melkachtige kleur krijgen; ten 9 uur was de zee zot wit als melk, zoo dat kim en lucht er zwart bij afstaken; bepaald vuren was het niet, de temp. was ook nagenoeg als te voren en bedroeg, toen de zee het witst was 24.2C. Tegen 11 uur nam het weer af enmet den morgen was er van het verschijnsel niets meer te zien; den volgenden avond vertoonde het zich op nieuw, doch het was toen var korteren duur.	Tim Wyatt, Unpublished Notes/Paper	Socotra	Milky Sea	0	N/A	28
08/08/1874	19:00 LOC	08/10/1874	03:00 LOC	13 deg 00' N	55 deg 00' E	Prins van Oranje	T. J. Aukes	Heden avond ten 8 uur werd het water plotseling zoo wit als sneeuw, bevonden geen verschil van temperatuur. Deze witte kleur van het water behielden wij, behalve over dag, tot op de H. W. van den 10den Aug. en toen wij er ten 3 uur uitliepen, konden wij duidelijk eene scherpe acsheiding zien tusschen dit wit en het gewoon gekleurde zeewater.	Tim Wyatt, Unpublished Notes/Paper	Socotra	Milky Sea	0	N/A	28
08/08/1875	(?)	08/09/1875	(?)	12 deg 00' S	105 deg 52' E	Bestevaer	C. v. d. Plas	Zagen heden nacht, van 2 uur tot half vier, het zeewater zoo wit als melk en dne volgenden nacht, na het passeeren van Christmuseiland, hetzelfde, doch voor korten tijd.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	29
10/08/1875	(?)	10/08/1875	(?)	16 deg 00' S	103 deg 54' E	Oceaan	W. Kramer	Zeilden op he H.W. door zeewater, zoo wit alsof het een sneeuwveld was; bevonden het St. gewicht 1023.5 en de temp 25.5, zijnde twee deelen en twee graden lichter en lager, dan even voor en na, dat wij het witte water hadden.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	30
09/03/1877	(?)	09/03/1877	(?)	7 deg 43' S	105 deg 58' E	Noach V	J. C. F. Looijen	Heden nacht, ongeveer voor straat Sunda, was het water aan de oppervlakte wit gekleurd en vuurde het zeer sterk.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	31
10/08/1877	(?)	10/08/1877	(?)	7 deg 00' S	105 deg 00' E	Maria Elisabeth	E. F. Bonjer	Heden nacht, bijleggende voor straat Sunda, om den dag af te wachten, was het water zoo wit alsof wij in melk dreven; de lucht was daarentegen zeer donker, zoodat het een opleizierig gezicht opleverde.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	32
02/09/1878	(?)	02/13/1878	(?)	12 deg 00' N	56 deg 00' E	L'Armide	Pornain, Lieutenant	A Luminous Sea. Last February the French Ironclad L'Armide passed through a considerable stretch of milky phosphorescenct sea between Point de Galle and Aden. Lieutenant Pornain reports that the nights of February 9, 10, 12, and 13 were characterized by the phenomenon in all its splendor, the ship during this tiem traversing 660 miles (1,100 kilometers) in a mean latitude of 12 deg north, between the meridians of 61 deg and 51 deg east longitude. There was no thunderstorm, the sky was clear, the moon new, the barometer, thermometer, and hygrometer were regular, and a gentle northeast monsoon was blowing. The temperature of the surface of the water was constant at 25 deg. The sea was like a snow covered field in a clear night, and all traces of undulations were lost sight of. The milky look was hardly disturbed by the motion of the ship and working of the screw (which shows that the layer had considerable thickness). By day all disappeared; but the hue of the sea was somewhat altered. Looked at attentively over the ship's side at night the water was seen to contain an enormous number of luminous particles pressed close together, and more brilliant close to the side (where disturbed). Some four hundreds of these corpuscles, one to two centimeters long, could be counted in a bucket holding ten liters of water. Drawn out, these were seen to be of gelatinous substance, which quickly dried and disappeared, leaving a dark globule one millimeter in diameter, which, in the microscope, presented a transparent ovoid animulcule, filled with eggs, and moving its fins and tentacles incessantly. A drop of water added to the dark globule brought back its luminosity; and when the creature was bruised in hte hand, it gave a bright mark, which was quickly extinguished, and which had no smell. The milky water, kept till day and looked at in the dark, shows no luminosity, even though agitated; nor does the water procured by day and brought into darkness. It remains to be determined what causes the luminosity of those animalcula and information is also desirable as to the position of the various milky seas on the globe, the times of their appearance, whether they persist in the same place or not, etc. Several of the officers on board the Armide had witnessed the phenomenon before, but never so brilliant or so continuous. The Armide, in going out, had passed thirty leagues further north in February, 1878, without encountering anything of the kind.	Scientific American, Vol. 42, No. 23 (June 5, 1880), pp. 359-360	Arabian Sea	Milky Sea	0	N/A	33
02/24/1878	(?)	02/25/1878	(?)	9 deg 11' N	28 deg 30' W	Zeenimph	A. Behrens	Zeer sterk vurend water, de zee gelijkt een sneeuwveld en schip en zeilen zijn als geillumineerd; de zee schijnt met heldere witte puntjes als bezaaid, doch in het opgeslagen water is met de microscoop niets te zien.	Tim Wyatt, Unpublished Notes/Paper	North Atlantic	Milky Sea	0	N/A	34
08/15/1879	(?)	08/15/1879	(?)	12 deg 08' N	55 deg 52' E	Prins Hendrik	M. C. Braat	Liepen eensklaps in melkwit gekleurd water;  schepten er een flesch vol van op en bemerkten dat het vol was van infusie-diertjes van +/- 1 mm lengte.	Tim Wyatt, Unpublished Notes/Paper	Socotra	Milky Sea	0	N/A	35
08/27/1879	(?)	08/28/1879	(?)	10 deg 12' S	105 deg 40' E	Noach V	J. van Schelven	In den nacht voor en na het passeeren van Christmuseiland, in den Ind. Oceaan, was het zeewater, bij heldere sterrenlcuht zonder één wolkje, zoo wit als melk.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	36
08/27/1879	(?)	08/27/1879	(?)	11 deg 49' N	59 deg 48' E	Gelderland	G. J. Boon	Stoomden twee uren door geheel wit gekleurd zeewater.	Tim Wyatt, Unpublished Notes/Paper	Arabian Sea	Milky Sea	0	N/A	35
08/27/1879	(?)	08/27/1879	(?)	15 deg 44' N	41 deg 36' E	Koning der Nederlanden	A. G. M. Bruins	Zagen heden avond groote melkwitte vlekken in het water.	Tim Wyatt, Unpublished Notes/Paper	Red Sea	(?)	1	N/A	37
10/22/1879	(?)	10/22/1879	(?)	12 deg 26' N	46 deg 07' E	Princes Marie	H. Hissink	Witte plekken in het zeewater.	Tim Wyatt, Unpublished Notes/Paper	Gulf of Aden	(?)	1	N/A	38
08/07/1880	(?)	08/07/1880	(?)	13 deg 20' N	53 deg 30' E	Drente	J. de Jong	Wit gekleurd water.	Tim Wyatt, Unpublished Notes/Paper	Socotra	Milky Sea	0	N/A	39
08/31/1880	(?)	08/31/1880	(?)	10 deg 47' S	119 deg 10' E	A. & W. C.	H. de Jonge	Zagen op de H.W. gedurende twee uren, terwijl het schip eene 5-mijls varrt liep, het zeewater zoo wit als melk; de lucht, alhoewel vrij helder, kwam er donker tegen uit. Lieten, nadat wij met de zeilen manouvreerende, de vaart tot een minimum hadden beperkt, het lood vallen, doch kregen met 80 vadem geen grond. In het St. gewicht of in de temperatuur van het zeewater werd geene varandering waargenomen.	Tim Wyatt, Unpublished Notes/Paper	Timor Sea	Milky Sea	0	N/A	40
02/01/1881	(?)	02/01/1881	(?)	14 deg 00' N	53 deg 00' E	SS Sumatry	Dan Pidgeon	I left Bombay for England in January 1881, on board the P. and O. s.s. Sumatray (Captain Briscoe), and on February 1, the vessel being then in N. lat 14 deg and E. long 53 deg (not far from the position described by your correspondent) had an opportunity of witnessing the phenomenon known as the "Milky Sea," rarely seen except in these waters. The following extract from by book, "An Engineer's Holiday," describing and explaining the appearance, may interest Mr. Barrett:- "The whole ocean, from the ship to the visible horizon, looked as if it were covered with snow, whose surface vidently shone by the reflected light of the sky, for Venus, being very bright, threw a distinguishable line of radiance across it, while the phosphorescent crests of waves were now and then seen breaking above the layer of shining matter which overlaid the water.""A current, always encountered north of Socotra, set the ship, on the day in question, fourteen miles to the northward of her course. This stream was crowded with large medusae, visible not only during the day, but also at night, whem being themselves non luminous, they appeared as whirling black discs in the general phosphorescence of the ship's wake. The ship's officers fully believed that this current brings with it, besides jelly fish, enormous quantities of decayed and phosphorescent matter to whose presence they attributed the appearance of the 'Milky Sea.' "The fact however, that the seeming snow reflects light, and is broken through by quite small waves, disposed of this explanation, and we soon convinced ourselves that the phenomenon is really due to a thin layer of mist lying on the water, exactly resembling one of those local fogs which every one has seen, and which may give to avalley or even a slight depression the appearance of being snowed up. It occurs when the sea is colder than the atmosphere, and the latter still and heavily loaded with aqueous vapour. Under these circumstances, a layer of air immediately in contact with the water is chilled below the dew point and becomes mistuy, while that above remains transparent: the upper surface of such a fog, which is only a few inches thick, being seen by the reflected light of the sky" ("An Engineer's Holiday," vol. ii. p. 314). The temperature of the sea on the night in question was 70 deg F., while that of the air was 79 deg, an unusual amount of difference in the Arabian Sea. Water, brought on deck by a bucket, showed no signs of milkiness, though crowded as ususal with various phosphorescent organisms. Dan Pidgeon. The Long House, Letherhead, September 24.	Nature, 58, 520-521, September 29, 1898	Arabian Sea	Milky Sea	0	N/A	41
